AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
1,AL,Alabama,00-0000,All Occupations,total,1883310,0.4,1000,1,20.15,41920,0.5,8.36,9.93,15.17,24.39,36.88,17380,20650,31550,50730,76720,,
2,AK,Alaska,00-0000,All Occupations,total,327250,1.4,1000,1,26.81,55760,0.7,10.62,14.73,22.32,34.22,47.47,22090,30640,46420,71170,98740,,
4,AZ,Arizona,00-0000,All Occupations,total,2587070,0.8,1000,1,21.78,45310,0.8,8.96,11.1,16.67,26.48,40.64,18640,23090,34680,55080,84540,,
5,AR,Arkansas,00-0000,All Occupations,total,1176130,0.8,1000,1,18.53,38540,1.5,8.31,9.55,14.14,22,33.05,17280,19860,29420,45750,68730,,
6,CA,California,00-0000,All Occupations,total,15496600,0.3,1000,1,26.57,55260,0.5,9.48,11.98,19.15,33.27,53.08,19720,24910,39830,69190,110410,,
8,CO,Colorado,00-0000,All Occupations,total,2451490,0.4,1000,1,24.61,51180,0.6,9.21,12.04,18.66,29.97,46.6,19160,25050,38800,62330,96940,,
9,CT,Connecticut,00-0000,All Occupations,total,1659430,0.7,1000,1,27.06,56280,0.9,9.63,13.11,21.07,33.74,49.26,20030,27260,43830,70170,102470,,
10,DE,Delaware,00-0000,All Occupations,total,433840,1.4,1000,1,24.18,50300,1.1,9.1,11.85,18.15,29.73,45.71,18920,24660,37750,61830,95080,,
11,DC,District of Columbia,00-0000,All Occupations,total,676060,0.6,1000,1,38.54,80150,6.4,11.49,18.05,31.75,51.88,72.98,23890,37540,66040,107900,151800,,
12,FL,Florida,00-0000,All Occupations,total,7925300,0.4,1000,1,20.6,42860,0.3,8.82,10.46,15.29,24.26,37.36,18350,21760,31810,50470,77700,,
13,GA,Georgia,00-0000,All Occupations,total,4107960,0.3,1000,1,21.84,45420,0.5,8.46,10.38,16.07,26.55,41.19,17590,21590,33430,55220,85680,,
15,HI,Hawaii,00-0000,All Occupations,total,619960,0.8,1000,1,22.95,47740,2,9.23,12.52,18.63,28.14,41.56,19200,26040,38750,58520,86450,,
16,ID,Idaho,00-0000,All Occupations,total,642700,0.8,1000,1,19.62,40810,1,8.52,10.47,15.32,23.55,35.49,17720,21780,31860,48980,73820,,
17,IL,Illinois,00-0000,All Occupations,total,5852710,0.3,1000,1,24.02,49970,0.6,9.17,11.28,17.94,29.86,45.75,19080,23470,37320,62120,95150,,
18,IN,Indiana,00-0000,All Occupations,total,2947380,0.6,1000,1,20.23,42070,0.5,8.57,10.66,15.82,24.43,36.24,17830,22160,32910,50820,75370,,
19,IA,Iowa,00-0000,All Occupations,total,1526950,0.8,1000,1,20.12,41840,0.8,8.7,11.08,16.18,24.13,35.43,18100,23050,33650,50190,73680,,
20,KS,Kansas,00-0000,All Occupations,total,1371630,0.7,1000,1,20.64,42930,0.6,8.69,10.97,16.2,24.75,36.89,18070,22810,33700,51480,76730,,
21,KY,Kentucky,00-0000,All Occupations,total,1838220,0.7,1000,1,19.65,40880,0.6,8.51,10.49,15.55,23.92,34.87,17710,21810,32340,49750,72540,,
22,LA,Louisiana,00-0000,All Occupations,total,1939300,0.4,1000,1,19.62,40810,0.5,8.35,9.93,15.38,23.83,35.21,17370,20660,31980,49560,73240,,
23,ME,Maine,00-0000,All Occupations,total,591520,0.7,1000,1,20.8,43260,1,9.07,11.52,16.69,25.07,36.2,18860,23970,34710,52140,75290,,
24,MD,Maryland,00-0000,All Occupations,total,2596630,0.7,1000,1,26.27,54630,0.5,9.1,12.35,20.13,33.21,51.21,18920,25690,41860,69070,106520,,
25,MA,Massachusetts,00-0000,All Occupations,total,3396840,0.4,1000,1,28.37,59010,0.6,9.87,13.67,21.91,35.58,54.22,20530,28440,45580,74000,112780,,
26,MI,Michigan,00-0000,All Occupations,total,4146600,0.6,1000,1,22.26,46310,0.7,8.99,11.07,17.02,27.68,41.36,18690,23030,35400,57570,86030,,
27,MN,Minnesota,00-0000,All Occupations,total,2772240,0.5,1000,1,23.91,49740,0.9,9.28,12.27,18.69,29.29,44.3,19300,25520,38870,60920,92140,,
28,MS,Mississippi,00-0000,All Occupations,total,1106550,0.6,1000,1,18.08,37620,0.8,8.26,9.48,13.94,21.71,31.58,17170,19730,29000,45160,65690,,
29,MO,Missouri,00-0000,All Occupations,total,2712240,0.5,1000,1,20.98,43640,0.6,8.63,10.59,16.05,25.61,38.4,17940,22040,33380,53270,79870,,
30,MT,Montana,00-0000,All Occupations,total,447180,0.6,1000,1,19.53,40620,0.6,8.91,10.71,15.37,23.74,34.56,18520,22280,31970,49370,71890,,
31,NE,Nebraska,00-0000,All Occupations,total,953710,0.8,1000,1,20.49,42630,0.7,8.95,11.15,16.27,24.72,36.18,18630,23190,33840,51420,75250,,
32,NV,Nevada,00-0000,All Occupations,total,1232800,0.7,1000,1,20.58,42800,0.7,8.67,10.96,16.2,24.71,37.39,18030,22800,33700,51390,77780,,
33,NH,New Hampshire,00-0000,All Occupations,total,635360,0.6,1000,1,23.42,48710,1,9.08,11.91,17.92,28.18,43.13,18880,24780,37280,58610,89710,,
34,NJ,New Jersey,00-0000,All Occupations,total,3906800,0.5,1000,1,26.42,54950,0.5,9.33,12.13,19.86,33.39,50.42,19400,25240,41320,69450,104860,,
35,NM,New Mexico,00-0000,All Occupations,total,798150,1.1,1000,1,20.76,43170,1.6,8.62,10.4,15.54,25.57,38.89,17930,21630,32320,53180,80900,,
36,NY,New York,00-0000,All Occupations,total,8984890,0.2,1000,1,27.42,57030,0.5,9.33,12.2,20,33.76,53.48,19410,25370,41600,70230,111230,,
37,NC,North Carolina,00-0000,All Occupations,total,4125070,0.2,1000,1,21.24,44170,0.4,8.52,10.54,15.91,25.05,39.18,17720,21930,33100,52100,81490,,
38,ND,North Dakota,00-0000,All Occupations,total,447820,0.9,1000,1,21.95,45660,0.7,9.7,12.97,18.35,26.61,37.12,20180,26980,38170,55350,77210,,
39,OH,Ohio,00-0000,All Occupations,total,5280850,0.5,1000,1,21.52,44750,0.5,8.9,10.91,16.84,26.62,38.29,18510,22700,35030,55380,79640,,
40,OK,Oklahoma,00-0000,All Occupations,total,1597130,0.7,1000,1,20.11,41820,0.6,8.49,10.41,15.59,23.82,36.16,17650,21650,32430,49550,75220,,
41,OR,Oregon,00-0000,All Occupations,total,1735220,0.7,1000,1,23.12,48100,1.2,9.71,11.92,17.83,28.1,42.95,20200,24790,37080,58450,89340,,
42,PA,Pennsylvania,00-0000,All Occupations,total,5709480,0.4,1000,1,22.38,46550,0.4,8.8,11.42,17.38,27.47,41.15,18310,23760,36150,57140,85590,,
44,RI,Rhode Island,00-0000,All Occupations,total,471290,0.9,1000,1,24.41,50780,1.2,9.4,12.15,18.77,30.25,45.38,19550,25260,39050,62920,94390,,
45,SC,South Carolina,00-0000,All Occupations,total,1928140,0.5,1000,1,19.51,40580,0.5,8.38,10.05,15.04,23.51,35.27,17440,20910,31280,48910,73370,,
46,SD,South Dakota,00-0000,All Occupations,total,413260,0.4,1000,1,18.66,38820,0.4,9.17,10.92,14.8,21.78,31.49,19080,22710,30780,45290,65500,,
47,TN,Tennessee,00-0000,All Occupations,total,2814230,0.5,1000,1,19.85,41300,0.5,8.49,10.41,15.3,23.66,35.64,17650,21640,31820,49210,74130,,
48,TX,Texas,00-0000,All Occupations,total,11572540,0.3,1000,1,22.38,46560,0.4,8.55,10.67,16.61,27.25,42.52,17780,22200,34550,56680,88450,,
49,UT,Utah,00-0000,All Occupations,total,1324460,0.6,1000,1,21.22,44130,0.9,8.78,11.14,16.34,25.78,38.86,18260,23170,33990,53610,80830,,
50,VT,Vermont,00-0000,All Occupations,total,303550,1,1000,1,22.15,46060,1,10.05,12.66,17.81,26.42,37.74,20900,26320,37040,54960,78510,,
51,VA,Virginia,00-0000,All Occupations,total,3682450,0.5,1000,1,24.84,51670,0.6,8.83,11.56,18.36,30.47,49.63,18360,24040,38180,63380,103220,,
53,WA,Washington,00-0000,All Occupations,total,2983930,0.5,1000,1,25.97,54010,2,10.63,13.47,20.28,32.38,48.83,22110,28020,42190,67360,101560,,
54,WV,West Virginia,00-0000,All Occupations,total,707000,0.9,1000,1,18.8,39100,0.7,8.63,9.71,14.54,23.01,33.57,17950,20200,30240,47850,69830,,
55,WI,Wisconsin,00-0000,All Occupations,total,2771600,0.5,1000,1,21.12,43930,0.5,8.75,11.26,16.88,25.82,37.34,18190,23420,35110,53710,77670,,
56,WY,Wyoming,00-0000,All Occupations,total,283830,0.6,1000,1,22.04,45850,0.5,9.19,12.43,18.41,27.76,37.42,19110,25860,38280,57740,77840,,
66,GU,Guam,00-0000,All Occupations,total,60580,1.1,1000,1,16.59,34500,2.6,8.61,9.15,12.63,19.4,29.54,17910,19020,26280,40360,61440,,
72,PR,Puerto Rico,00-0000,All Occupations,total,890760,0.5,1000,1,13.56,28190,1.1,7.86,8.47,9.61,15.27,23.19,16340,17630,20000,31770,48240,,
78,VI,Virgin Islands,00-0000,All Occupations,total,37370,2,1000,1,16.85,35050,2,8.27,9.55,13.34,20.22,29.3,17200,19860,27750,42060,60940,,